Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 1, estrofe 1, verso 2;Que da Occidental praya Lusi-tana,;Que da Occidental praya Lusitana,
Canto 1, estrofe 1, verso 3;Por mares nunca de antes na-uegados,;Por mares, nunca de antes na-uegados,
Canto 1, estrofe 1, verso 6;Mais do que prometia a força humana.;Mais do que prometia a força humana:
Canto 1, estrofe 1, verso 7;E entre gente remota edificarão;Entre gente remota edificáram
Canto 1, estrofe 1, verso 8;Nouo Reino, que tanto sublimarão.;Nouo Reino, que tanto sublimáram.
Canto 1, estrofe 2, verso 2;Daquelles Reis, que forão dilatando;Daquelles Reis, que foram dilatando
Canto 1, estrofe 2, verso 4;De Affrica, & de Asia, andarão deuastando,;De Africa, & de Asia, andaram deuastãdo
Canto 1, estrofe 3, verso 2;As nauegações grandes que fizerão:;As nauegações grandes que fizeram:
Canto 1, estrofe 3, verso 3;Callese de Alexandro, & de Trajano,;Callese de Alexandro, & de Trajano
Canto 1, estrofe 3, verso 4;A fama das victorias que tiuerão,;A fama das victorias que tiueram,
Canto 1, estrofe 3, verso 6;A quem Neptuno, & Marte obedeçerão:;A quem Neptuno, & Marte obedecéram:
Canto 1, estrofe 4, verso 3;Se sempre em verso humilde, celebrado;Se sempre em verso humilde celebrado,
Canto 1, estrofe 4, verso 6;Hum estillo grandiloco, & corrente,;Hum estillo grandiloco, & corrente:
Canto 1, estrofe 4, verso 8;Que não tenhão enueja aas de Hypocrene.;Que nam tenham enueja ás de Hypocrene.
Canto 1, estrofe 5, verso 2;E não de agreste a vena, ou frauta ruda:;E nam de agreste a vena, ou frauta ruda:
Canto 1, estrofe 6, verso 5;Vos o nouo temor da Maura lança,;Vos ò nouo temor da Maura lança,
Canto 1, estrofe 6, verso 7;Dada ao mundo por Deos q̃ todo o mande,;Dada ao mundo por Deos que todo o mande,
Canto 1, estrofe 7, verso 4;Cesarea, ou Christianissima chamada:;Cesaria, ou Christianissima chamada:
Canto 1, estrofe 8, verso 3;Veo tambem no meio do Hemispherio,;Veo tambem no meyo do Hemispherio,
Canto 1, estrofe 9, verso 2;Que nesse tenrro gesto vos contemplo,;Que nesse tenro gesto vos contemplo,
Canto 1, estrofe 10, verso 1;Vereis amor da patria, não mouido;Vereis amor da patria, nam mouido
Canto 1, estrofe 10, verso 2;De premio vil: mas alto, & quasi eterno;De premio vil: mas alto, & quasi eterno,
Canto 1, estrofe 10, verso 3;Que nam he premio vil, ser conhecido;Que nam he premio vil ser conhecido,
Canto 1, estrofe 10, verso 4;Por hum pregão do ninho meu paterno.;Por hum pregam do ninho meu paterno.
Canto 1, estrofe 10, verso 6;Daquelles de quem sois senhor superno.;Daquelles de quem sois senhor superno:
Canto 1, estrofe 10, verso 7;E julgareis qual he mais excelente,;E julgareis qual he mais excellente,
Canto 1, estrofe 10, verso 8;Se ser do mundo Rei, se de tal gente:;Se ser do mundo Rei, se de tal gente.
Canto 1, estrofe 11, verso 1;Ouui, que não vereis com vãs façanhas;Ouui, que nam vereis com vãs façanhas,
Canto 1, estrofe 11, verso 4;Musas, de engrandecerse desejosas,;Musas, de engrandecerse desejosas:
Canto 1, estrofe 11, verso 7;Que excedem Rodamonte, & o vão Rugeiro,;Que excedem Rodamõte, & o vão Rugeiro,
Canto 1, estrofe 12, verso 4;A Citara parelles so cobiço:;A Citera parelles so cobiço:
Canto 1, estrofe 12, verso 5;Pois polos doze pares daruos quero,;Pois polos doze Pares daruos quero,
Canto 1, estrofe 12, verso 6;Os doze de Inglaterra, & o seu Magriço.;Os doze de Inglaterra, & o seu Magriço:
Canto 1, estrofe 12, verso 7;Douuos tambem aquelle illustre Gama,;Douuos tambem aquelle illustre Gama
Canto 1, estrofe 13, verso 2;Ou de Cesar, quereis igual memoria:;Ou de Cesar, quereis igual memoria,
Canto 1, estrofe 13, verso 6;Deixou, com a grande & prospera victoria.;Deixou, com a grande & prospera victoria:
Canto 1, estrofe 13, verso 7;Outro Ioane, invicto caualleiro,;Outro Ioanne, inuicto caualleiro,
Canto 1, estrofe 14, verso 3;Se fizerão por armas tam subidos,;Se fizeram por armas tam subidos,
Canto 1, estrofe 14, verso 6;Almeidas, por quem sempre o Tejo chora.;Almeidas, por quem sempre o Tejo chora:
Canto 1, estrofe 15, verso 8;De Affrica as terras, & do Oriente os mares.;De Africa as terras, & do Oriẽte os mares.
Canto 1, estrofe 16, verso 1;Em vos os olhos tem o Mouro frio,;Em vòs os olhos tem o Mouro frio,
Canto 1, estrofe 16, verso 4;Mostra o pescoço ao jugo ja inclinado:;Mostra o pescoço ao jugo ja inclinado,
Canto 1, estrofe 16, verso 6;Tem pera vos por dote aparelhado:;Tem pera vòs por dote aparelhado:
Canto 1, estrofe 17, verso 1;Em vos se vem da Olimpica morada,;Em vôs se vem da Olimpica morada,
Canto 1, estrofe 17, verso 2;Dos dous auôs, as almas ca famosas,;Dos dous auòs, as almas ca famosas,
Canto 1, estrofe 17, verso 5;Em vos esperão, verse renouada;Em vòs esperam, verse renouada
Canto 1, estrofe 18, verso 2;De regerdes os pouos, que o desejão:;De regerdes os pouos, que o desejam:
Canto 1, estrofe 18, verso 4;Pera que estes meus versos vossos sejão:;Pera que estes meus versos vossos sejam:
Canto 1, estrofe 18, verso 6;Os vossos Argonautas, porque vejão,;Os vossos Argonautas, porque vejam,
Canto 1, estrofe 19, verso 1;Ia no largo Occeano nauegauão,;Ia no largo Occeano nauegauam,
Canto 1, estrofe 19, verso 3;Os ventos brandamente respirauão,;Os ventos brandamente respirauam,
Canto 1, estrofe 19, verso 6;Cubertos, onde as proas vão cortando.;Cubertos, onde as proas vam cortando,
Canto 1, estrofe 19, verso 8;Que do gado de Proteo sam cortadas.;Que do gado de Proteo sam cortadas:
Canto 1, estrofe 20, verso 2;Onde o governo està, da humana gente;Onde o gouerno està da humana gente,
Canto 1, estrofe 20, verso 3;Se ajuntão em consilio glorioso,;Se ajuntam em consilio glorioso,
Canto 1, estrofe 20, verso 6;Vem pela via Lactea, juntamente;Vem pela via Lactea, juntamente,
Canto 1, estrofe 21, verso 1;Deixão dos sete Ceos o regimento,;Deixam dos sete Ceos o regimento,
Canto 1, estrofe 21, verso 2;Que do poder mais alto lhe foi dado,;Que do poder mais alto lhe foy dado,
Canto 1, estrofe 21, verso 5;Ali se acharão juntos num momento,;Ali se acháram juntos num momento,
Canto 1, estrofe 21, verso 6;Os que habitão o Arcturo congelado.;Os que habitam o Arcturo congelado.
Canto 1, estrofe 23, verso 1;Em luzentes assentos, marchetados;Em luzentes assentos marchetados
Canto 1, estrofe 23, verso 4;Como a Razão, & a Ordem concertauão.;Como a Razam, & a Ordem concertauam:
Canto 1, estrofe 23, verso 5;Precedem os antiguos mais honrrados,;Precedem os antigos mais honrados,
Canto 1, estrofe 23, verso 6;Mais abaixo os menores se assentauão:;Mais abaixo os menores se assentauam:
Canto 1, estrofe 23, verso 7;Quando Iupiter alto assy dizendo,;Quando Iupiter alto assi dizendo,
Canto 1, estrofe 23, verso 8;Cum tom de voz começa, graue & horrendo.;Cum tom de voz começa, graue & horendo.
Canto 1, estrofe 24, verso 2;Estelifero polo & claro assento,;Estelifero polo, & claro assento,
Canto 1, estrofe 24, verso 4;De Luso, não perdeis o pensamento,;Do Luso, nam perdeis o pensamento,
Canto 1, estrofe 24, verso 6;Como he dos fados grandes certo intento;Como he dos fados grandes, certo intento,
Canto 1, estrofe 24, verso 7;Que por ella sesqueção os humanos,;Que por ella sesqueçam os humanos,
